timestamp,service_name,region,cpu_usage,memory_usage,p95_latency_ms,error_rate,request_count,timeout_count,deployment_version
2026-06-30T20:00:00,auth-service,us-east,30.9,54.83,332.19,0.0127,974,0,v2.0.9
2026-06-30T20:01:12,payment-service,us-east,31.44,50.47,341.16,0.018,846,0,v2.1.3
2026-06-30T20:02:24,matchmaking-service,us-east,65.9,58.33,261.78,0.0142,1196,1,v1.8.2
2026-06-30T20:03:36,player-profile-service,us-east,29.86,66.76,231.07,0.0117,896,3,v1.8.2
2026-06-30T20:04:48,notification-service,us-east,50.41,60.23,296.98,0.0178,705,4,v2.0.9
2026-06-30T20:06:00,game-session-service,us-east,49.91,37.32,248.01,0.013,661,1,v2.1.3
2026-06-30T20:07:12,leaderboard-service,us-east,59.09,52.23,302.7,0.0252,1545,6,v2.1.3
2026-06-30T20:08:24,auth-service,us-west,55.96,44.03,253.19,0.019,1188,2,v2.0.9
2026-06-30T20:09:36,payment-service,us-west,39.52,71.27,169.21,0.0127,720,7,v2.0.9
2026-06-30T20:10:48,matchmaking-service,us-west,65.33,50.6,199.44,0.0208,1585,2,v2.1.3
2026-06-30T20:12:00,player-profile-service,us-west,41.6,47.96,342.09,0.0192,1108,5,v2.1.3
2026-06-30T20:13:12,notification-service,us-west,65.79,52.54,286.03,0.0125,1280,1,v2.1.3
2026-06-30T20:14:24,game-session-service,us-west,39.38,49.27,359.38,0.019,1284,7,v1.8.2
2026-06-30T20:15:36,leaderboard-service,us-west,52.44,53.27,340.6,0.0161,823,2,v2.0.9
2026-06-30T20:16:48,auth-service,eu-central,64.67,53.37,308.53,0.0188,770,6,v2.0.9
2026-06-30T20:18:00,payment-service,eu-central,60.77,66.97,243.83,0.0183,885,2,v2.0.9
2026-06-30T20:19:12,matchmaking-service,eu-central,66.31,40.58,235.32,0.0183,780,6,v2.1.3
2026-06-30T20:20:24,player-profile-service,eu-central,61.24,41.75,284.54,0.0201,888,7,v1.8.2
2026-06-30T20:21:36,notification-service,eu-central,66.12,60.55,321.46,0.0219,1127,5,v1.8.2
2026-06-30T20:22:48,game-session-service,eu-central,63.98,63.86,229.26,0.0055,1495,7,v2.1.3
2026-06-30T20:24:00,leaderboard-service,eu-central,43.76,52.82,296.27,0.0083,1010,6,v2.1.3
2026-06-30T20:25:12,auth-service,ap-south,34.49,47.58,337.96,0.0338,653,7,v1.8.2
2026-06-30T20:26:24,payment-service,ap-south,65.96,57.71,311.5,0.015,672,1,v1.8.2
2026-06-30T20:27:36,matchmaking-service,ap-south,66.22,57.28,256.48,0.0124,1085,4,v1.8.2
2026-06-30T20:28:48,player-profile-service,ap-south,47.22,46.54,327.65,0.0204,747,7,v1.8.2
2026-06-30T20:30:00,notification-service,ap-south,61.15,40.97,279.81,0.0035,623,7,v1.8.2
